iter	Passed	Remaining
426	1443	8698
427	1445	8686
428	1447	8674
429	1449	8661
430	1451	8650
431	1453	8642
432	1455	8631
433	1457	8619
434	1459	8608
435	1462	8599
436	1464	8587
437	1466	8576
438	1468	8564
439	1470	8553
440	1472	8542
441	1474	8533
442	1476	8522
443	1478	8510
444	1481	8504
445	1483	8496
446	1485	8485
447	1487	8475
448	1490	8465
449	1491	8454
450	1494	8446
451	1496	8437
452	1498	8426
453	1500	8415
454	1502	8405
455	1504	8394
456	1507	8385
457	1509	8376
458	1511	8365
459	1512	8354
460	1514	8343
461	1517	8335
462	1519	8325
463	1521	8314
464	1523	8307
465	1525	8297
466	1527	8287
467	1529	8276
468	1531	8266
469	1533	8255
470	1535	8245
471	1537	8236
472	1540	8231
473	1543	8227
474	1546	8221
475	1548	8213
476	1551	8204
477	1553	8194
478	1555	8184
479	1557	8176
480	1559	8166
481	1561	8158
482	1563	8149
483	1566	8140
484	1568	8131
485	1569	8121
486	1572	8112
487	1574	8102
488	1576	8092
489	1578	8085
490	1582	8087
491	1586	8086
492	1590	8089
493	1594	8090
494	1597	8083
495	1600	8077
496	1602	8071
497	1605	8064
498	1607	8056
499	1609	8048
500	1612	8041
501	1617	8049
502	1621	8049
503	1623	8042
504	1626	8033
505	1630	8037
506	1636	8048
507	1643	8060
508	1647	8061
509	1649	8052
510	1652	8051
511	1662	8077
512	1664	8071
513	1667	8065
514	1670	8060
515	1673	8054
516	1675	8048
517	1678	8041
518	1681	8037
519	1684	8032
520	1686	8024
521	1688	8017
522	1691	8010
523	1694	8006
524	1697	8003
525	1700	7999
526	1703	7995
527	1707	7992
528	1710	7990
529	1714	7989
530	1717	7987
531	1720	7983
532	1723	7977
533	1725	7970
534	1728	7964
535	1731	7958
536	1733	7949
537	1735	7942
538	1737	7933
539	1739	7924
540	1741	7915
541	1743	7908
542	1745	7899
543	1748	7892
544	1750	7885
545	1752	7876
546	1754	7867
547	1756	7860
548	1758	7852
549	1761	7845
550	1763	7837
551	1765	7830
552	1767	7822
553	1770	7815
554	1772	7808
555	1774	7799
556	1776	7791
557	1779	7785
558	1781	7778
559	1783	7772
560	1785	7764
561	1788	7757
562	1790	7749
563	1792	7741
564	1794	7733
565	1796	7724
566	1798	7716
567	1800	7707
568	1802	7699
569	1804	7690
570	1807	7691
571	1812	7692
572	1816	7692
573	1821	7697
574	1829	7714
575	1831	7708
576	1833	7701
577	1836	7694
578	1839	7689
579	1843	7693
580	1848	7696
581	1851	7691
582	1853	7686
583	1856	7678
584	1858	7670
585	1860	7663
586	1862	7655
587	1864	7649
588	1866	7642
589	1868	7634
590	1871	7627
591	1873	7620
592	1875	7613
593	1878	7606
594	1880	7600
595	1882	7593
596	1884	7586
597	1886	7579
598	1888	7571
599	1890	7563
600	1893	7556
601	1895	7550
602	1897	7542
603	1899	7534
604	1901	7526
605	1903	7520
606	1906	7515
607	1908	7507
608	1910	7499
609	1912	7492
610	1914	7484
611	1916	7478
612	1918	7470
613	1920	7464
614	1922	7457
615	1924	7449
616	1926	7442
617	1928	7434
618	1930	7426
619	1932	7419
620	1934	7412
621	1937	7408
622	1939	7401
623	1942	7394
624	1943	7387
625	1946	7380
626	1948	7373
627	1950	7365
628	1952	7359
629	1954	7352
630	1956	7346
631	1959	7340
632	1961	7333
633	1963	7326
634	1965	7318
635	1967	7312
636	1969	7307
637	1972	7301
638	1974	7294
639	1976	7287
640	1978	7281
641	1980	7275
642	1982	7268
643	1984	7261
644	1987	7255
645	1989	7249
646	1991	7241
647	1993	7234
648	1995	7227
649	1997	7220
650	1999	7213
651	2004	7217
652	2007	7215
653	2010	7211
654	2012	7204
655	2014	7199
656	2018	7199
657	2023	7201
658	2031	7216
659	2034	7214
660	2037	7208
661	2040	7204
662	2044	7206
663	2049	7210
664	2052	7207
665	2055	7201
666	2057	7195
667	2059	7189
668	2061	7184
669	2064	7179
670	2066	7173
671	2070	7171
672	2074	7171
673	2076	7166
674	2079	7161
675	2081	7155
676	2083	7149
677	2085	7143
678	2088	7139
